No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
927,2010,2,8,14,184.0,-5,4.0,1017.0,cv,0.89,0,0
931,2010,2,8,18,166.0,-5,1.0,1019.0,cv,0.89,0,0
933,2010,2,8,20,227.0,-4,-1.0,1020.0,cv,0.89,0,0
934,2010,2,8,21,210.0,-5,-2.0,1020.0,cv,1.78,0,0
935,2010,2,8,22,233.0,-4,-2.0,1021.0,cv,2.23,0,0
936,2010,2,8,23,258.0,-4,-3.0,1021.0,cv,3.12,0,0
939,2010,2,9,2,273.0,-6,-4.0,1022.0,cv,0.89,0,0
943,2010,2,9,6,229.0,-5,-4.0,1023.0,cv,0.89,0,0
944,2010,2,9,7,199.0,-5,-4.0,1023.0,cv,1.34,0,0
945,2010,2,9,8,193.0,-4,-3.0,1024.0,cv,2.23,0,0
950,2010,2,9,13,39.0,-16,4.0,1024.0,cv,0.89,0,0
951,2010,2,9,14,50.0,-14,5.0,1023.0,cv,1.78,0,0
953,2010,2,9,16,49.0,-12,4.0,1023.0,cv,0.89,0,0
957,2010,2,9,20,181.0,-6,0.0,1025.0,cv,0.89,0,0
1021,2010,2,12,12,19.0,-23,-3.0,1035.0,cv,3.13,0,0
1024,2010,2,12,15,13.0,-23,-1.0,1032.0,cv,1.79,0,0
1029,2010,2,12,20,50.0,-19,-5.0,1032.0,cv,0.89,0,0
1030,2010,2,12,21,58.0,-18,-6.0,1032.0,cv,1.34,0,0
1031,2010,2,12,22,60.0,-16,-8.0,1032.0,cv,1.79,0,0
1042,2010,2,13,9,26.0,-17,-7.0,1031.0,cv,0.89,0,0
1043,2010,2,13,10,23.0,-18,-5.0,1031.0,cv,1.78,0,0
1045,2010,2,13,12,46.0,-19,0.0,1029.0,cv,0.89,0,0
1047,2010,2,13,14,53.0,-20,3.0,1027.0,cv,1.79,0,0
1054,2010,2,13,21,213.0,-15,-4.0,1027.0,cv,0.89,0,0
1055,2010,2,13,22,259.0,-13,-5.0,1028.0,cv,1.78,0,0
1056,2010,2,13,23,267.0,-13,-6.0,1028.0,cv,2.67,0,0
1058,2010,2,14,1,980.0,-14,-7.0,1029.0,cv,0.89,0,0
1076,2010,2,14,19,21.0,-22,-5.0,1033.0,cv,0.89,0,0
1084,2010,2,15,3,18.0,-22,-8.0,1037.0,cv,0.89,0,0
1085,2010,2,15,4,15.0,-22,-8.0,1036.0,cv,1.78,0,0
1096,2010,2,15,15,15.0,-26,0.0,1032.0,cv,1.79,0,0
1097,2010,2,15,16,15.0,-26,0.0,1032.0,cv,2.68,0,0
1098,2010,2,15,17,13.0,-26,0.0,1032.0,cv,3.57,0,0
1101,2010,2,15,20,50.0,-21,-6.0,1034.0,cv,0.89,0,0
1103,2010,2,15,22,96.0,-20,-8.0,1034.0,cv,0.89,0,0
1109,2010,2,16,4,65.0,-18,-12.0,1033.0,cv,0.45,0,0
1115,2010,2,16,10,24.0,-20,-4.0,1032.0,cv,0.89,0,0
1116,2010,2,16,11,21.0,-20,-3.0,1032.0,cv,1.78,0,0
1118,2010,2,16,13,39.0,-21,1.0,1030.0,cv,0.89,0,0
1126,2010,2,16,21,178.0,-12,-5.0,1026.0,cv,0.89,0,0
1127,2010,2,16,22,192.0,-12,-6.0,1026.0,cv,1.78,0,0
1129,2010,2,17,0,207.0,-13,-6.0,1025.0,cv,0.89,0,0
1130,2010,2,17,1,237.0,-13,-5.0,1025.0,cv,1.78,0,0
1153,2010,2,18,0,50.0,-19,-6.0,1027.0,cv,0.45,0,0
1156,2010,2,18,3,41.0,-18,-9.0,1026.0,cv,0.89,0,0
1160,2010,2,18,7,77.0,-18,-11.0,1026.0,cv,0.89,0,0
1161,2010,2,18,8,87.0,-17,-8.0,1026.0,cv,1.78,0,0
1163,2010,2,18,10,54.0,-17,0.0,1026.0,cv,0.89,0,0
1164,2010,2,18,11,36.0,-21,2.0,1026.0,cv,1.78,0,0
1165,2010,2,18,12,34.0,-21,3.0,1024.0,cv,2.67,0,0
1171,2010,2,18,18,41.0,-21,3.0,1021.0,cv,4.02,0,0
1176,2010,2,18,23,296.0,-16,-3.0,1021.0,cv,0.89,0,0
1177,2010,2,19,0,159.0,-15,-5.0,1020.0,cv,1.78,0,0
1178,2010,2,19,1,119.0,-15,-6.0,1020.0,cv,2.67,0,0
1179,2010,2,19,2,115.0,-14,-7.0,1019.0,cv,3.56,0,0
1180,2010,2,19,3,168.0,-15,-8.0,1019.0,cv,4.45,0,0
1181,2010,2,19,4,177.0,-15,-8.0,1018.0,cv,4.9,0,0
1182,2010,2,19,5,191.0,-15,-8.0,1018.0,cv,5.79,0,0
1188,2010,2,19,11,107.0,-17,4.0,1017.0,cv,0.89,0,0
1189,2010,2,19,12,96.0,-16,7.0,1017.0,cv,1.78,0,0
1193,2010,2,19,16,40.0,-18,10.0,1014.0,cv,3.13,0,0
1197,2010,2,19,20,65.0,-16,1.0,1015.0,cv,0.89,0,0
1198,2010,2,19,21,101.0,-14,-1.0,1015.0,cv,1.78,0,0
1199,2010,2,19,22,146.0,-13,-2.0,1015.0,cv,2.67,0,0
1200,2010,2,19,23,165.0,-13,-3.0,1015.0,cv,3.56,0,0
1201,2010,2,20,0,205.0,-12,-4.0,1015.0,cv,4.45,0,0
1202,2010,2,20,1,191.0,-14,-1.0,1015.0,cv,5.34,0,0
1209,2010,2,20,8,152.0,-11,-6.0,1014.0,cv,0.89,0,0
1217,2010,2,20,16,150.0,-8,9.0,1011.0,cv,0.89,0,0
1218,2010,2,20,17,163.0,-8,8.0,1010.0,cv,1.78,0,0
1223,2010,2,20,22,213.0,-8,-2.0,1012.0,cv,0.45,0,0
1224,2010,2,20,23,282.0,-8,-2.0,1011.0,cv,1.34,0,0
1225,2010,2,21,0,261.0,-7,-2.0,1011.0,cv,2.23,0,0
1226,2010,2,21,1,215.0,-6,-1.0,1011.0,cv,2.68,0,0
1227,2010,2,21,2,233.0,-6,-2.0,1011.0,cv,3.57,0,0
1243,2010,2,21,18,20.0,-15,9.0,1014.0,cv,0.89,0,0
1244,2010,2,21,19,30.0,-13,4.0,1015.0,cv,1.78,0,0
1245,2010,2,21,20,69.0,-13,4.0,1016.0,cv,2.67,0,0
1249,2010,2,22,0,154.0,-6,-1.0,1020.0,cv,0.89,0,0
1250,2010,2,22,1,136.0,-5,0.0,1021.0,cv,1.34,0,0
1269,2010,2,22,20,81.0,-7,-1.0,1014.0,cv,0.89,0,0
1272,2010,2,22,23,86.0,-7,-2.0,1014.0,cv,0.89,0,0
1275,2010,2,23,2,104.0,-7,-4.0,1012.0,cv,0.89,0,0
1276,2010,2,23,3,129.0,-8,-5.0,1012.0,cv,1.78,0,0
1277,2010,2,23,4,117.0,-7,-5.0,1011.0,cv,2.23,0,0
1281,2010,2,23,8,134.0,-6,-4.0,1010.0,cv,0.89,0,0
1282,2010,2,23,9,136.0,-5,-1.0,1010.0,cv,1.78,0,0
1284,2010,2,23,11,150.0,-7,2.0,1008.0,cv,0.89,0,0
1285,2010,2,23,12,148.0,-7,4.0,1007.0,cv,1.78,0,0
1287,2010,2,23,14,179.0,-7,6.0,1004.0,cv,0.89,0,0
1288,2010,2,23,15,183.0,-6,7.0,1003.0,cv,1.78,0,0
1292,2010,2,23,19,218.0,-7,3.0,1003.0,cv,0.89,0,0
1295,2010,2,23,22,274.0,-5,0.0,1004.0,cv,0.45,0,0
1296,2010,2,23,23,282.0,-6,-1.0,1004.0,cv,1.34,0,0
1299,2010,2,24,2,227.0,-5,-1.0,1003.0,cv,0.89,0,0
1300,2010,2,24,3,223.0,-6,1.0,1003.0,cv,1.78,0,0
1312,2010,2,24,15,298.0,-2,11.0,1002.0,cv,0.89,0,0
1313,2010,2,24,16,292.0,-1,11.0,1003.0,cv,1.78,0,0
1316,2010,2,24,19,368.0,2,6.0,1006.0,cv,0.89,0,0
1320,2010,2,24,23,218.0,3,5.0,1010.0,cv,0.89,0,0
1321,2010,2,25,0,164.0,2,4.0,1010.0,cv,1.78,0,0
1322,2010,2,25,1,153.0,1,3.0,1011.0,cv,2.67,0,0
1323,2010,2,25,2,135.0,1,3.0,1012.0,cv,3.12,0,0
1324,2010,2,25,3,134.0,1,3.0,1012.0,cv,4.01,0,0
1354,2010,2,26,9,75.0,-6,1.0,1022.0,cv,0.89,0,0
1356,2010,2,26,11,82.0,-6,3.0,1022.0,cv,0.89,0,0
1357,2010,2,26,12,81.0,-6,4.0,1021.0,cv,1.78,0,0
1358,2010,2,26,13,91.0,-6,5.0,1021.0,cv,3.57,0,0
1377,2010,2,27,8,52.0,-5,-4.0,1021.0,cv,0.89,4,0
1379,2010,2,27,10,89.0,-4,-2.0,1021.0,cv,0.89,0,0
1380,2010,2,27,11,138.0,-4,-2.0,1021.0,cv,1.78,0,0
1381,2010,2,27,12,77.0,-4,-1.0,1020.0,cv,2.67,0,0
1389,2010,2,27,20,98.0,-5,0.0,1018.0,cv,0.89,0,0
1391,2010,2,27,22,112.0,-5,0.0,1019.0,cv,0.45,0,0
1394,2010,2,28,1,114.0,-4,-1.0,1019.0,cv,0.45,0,0
1395,2010,2,28,2,115.0,-4,-1.0,1019.0,cv,1.34,0,0
1397,2010,2,28,4,138.0,-6,-3.0,1019.0,cv,0.89,0,0
1415,2010,2,28,22,128.0,-3,-2.0,1026.0,cv,0.89,5,0
1442,2010,3,2,1,101.0,-5,-2.0,1019.0,cv,0.89,0,0
1444,2010,3,2,3,108.0,-5,-3.0,1018.0,cv,0.89,0,0
1445,2010,3,2,4,115.0,-6,-5.0,1018.0,cv,1.78,0,0
1447,2010,3,2,6,120.0,-7,-6.0,1019.0,cv,0.89,0,0
1448,2010,3,2,7,125.0,-8,-6.0,1020.0,cv,1.78,0,0
1461,2010,3,2,20,44.0,-12,5.0,1024.0,cv,0.89,0,0
1464,2010,3,2,23,129.0,-6,0.0,1025.0,cv,0.89,0,0
1467,2010,3,3,2,92.0,-5,-2.0,1025.0,cv,0.89,0,0
1472,2010,3,3,7,114.0,-9,-2.0,1025.0,cv,0.89,0,0
1474,2010,3,3,9,126.0,-8,0.0,1026.0,cv,0.89,0,0
1483,2010,3,3,18,224.0,-6,4.0,1019.0,cv,0.89,0,0
1486,2010,3,3,21,144.0,-5,2.0,1020.0,cv,0.89,0,0
1487,2010,3,3,22,123.0,-4,1.0,1020.0,cv,1.78,0,0
1493,2010,3,4,4,125.0,-4,0.0,1016.0,cv,0.89,0,0
1507,2010,3,4,18,246.0,-2,3.0,1013.0,cv,0.89,0,0
1508,2010,3,4,19,261.0,-2,3.0,1014.0,cv,1.78,0,0
1529,2010,3,5,16,16.0,-24,3.0,1028.0,cv,1.79,0,0
1550,2010,3,6,13,52.0,-20,1.0,1033.0,cv,3.13,0,0
1551,2010,3,6,14,65.0,-18,1.0,1032.0,cv,4.92,0,0
1553,2010,3,6,16,103.0,-13,2.0,1031.0,cv,1.79,0,0
1568,2010,3,7,7,69.0,-11,-7.0,1036.0,cv,0.45,0,0
1569,2010,3,7,8,74.0,-9,-5.0,1037.0,cv,0.9,1,0
1574,2010,3,7,13,92.0,-11,1.0,1035.0,cv,1.79,0,0
1575,2010,3,7,14,100.0,-10,0.0,1034.0,cv,3.58,0,0
1579,2010,3,7,18,134.0,-12,-1.0,1034.0,cv,0.89,0,0
1581,2010,3,7,20,124.0,-10,-1.0,1036.0,cv,0.89,0,0
1582,2010,3,7,21,116.0,-10,-1.0,1036.0,cv,1.78,0,0
1583,2010,3,7,22,114.0,-10,-1.0,1036.0,cv,2.67,0,0
1584,2010,3,7,23,70.0,-11,-3.0,1037.0,cv,3.56,0,0
1598,2010,3,8,13,29.0,-6,-2.0,1040.0,cv,0.45,0,0
1599,2010,3,8,14,32.0,-8,-2.0,1039.0,cv,1.34,0,0
1600,2010,3,8,15,33.0,-7,-2.0,1039.0,cv,2.23,0,0
1630,2010,3,9,21,22.0,-18,-2.0,1030.0,cv,0.89,0,0
1631,2010,3,9,22,27.0,-13,-5.0,1029.0,cv,1.78,0,0
1640,2010,3,10,7,87.0,-13,-8.0,1025.0,cv,0.89,0,0
1641,2010,3,10,8,111.0,-11,-4.0,1025.0,cv,1.78,0,0
1642,2010,3,10,9,105.0,-13,-1.0,1025.0,cv,2.67,0,0
1645,2010,3,10,12,48.0,-16,7.0,1021.0,cv,3.13,0,0
1657,2010,3,11,0,101.0,-8,-1.0,1015.0,cv,0.89,0,0
1659,2010,3,11,2,144.0,-8,-4.0,1014.0,cv,0.45,0,0
1661,2010,3,11,4,140.0,-7,-3.0,1012.0,cv,0.89,0,0
1663,2010,3,11,6,135.0,-7,-4.0,1013.0,cv,0.89,0,0
1664,2010,3,11,7,145.0,-7,-4.0,1012.0,cv,1.78,0,0
1665,2010,3,11,8,161.0,-6,-1.0,1013.0,cv,2.67,0,0
1667,2010,3,11,10,199.0,-10,3.0,1012.0,cv,0.89,0,0
1673,2010,3,11,16,163.0,-8,9.0,1005.0,cv,1.79,0,0
1674,2010,3,11,17,154.0,-9,8.0,1005.0,cv,2.68,0,0
1701,2010,3,12,20,53.0,-13,2.0,1023.0,cv,0.89,0,0
1708,2010,3,13,3,40.0,-7,-1.0,1028.0,cv,0.89,0,0
1712,2010,3,13,7,50.0,-10,-1.0,1028.0,cv,0.89,0,0
1728,2010,3,13,23,41.0,-10,3.0,1025.0,cv,0.89,0,0
1732,2010,3,14,3,68.0,-8,2.0,1023.0,cv,0.89,0,0
1734,2010,3,14,5,80.0,-8,1.0,1023.0,cv,0.45,0,2
1746,2010,3,14,17,94.0,-1,0.0,1018.0,cv,0.45,14,0
1776,2010,3,15,23,44.0,-11,-1.0,1026.0,cv,0.89,0,0
1778,2010,3,16,1,63.0,-9,-3.0,1025.0,cv,0.89,0,0
1779,2010,3,16,2,72.0,-9,-4.0,1025.0,cv,1.78,0,0
1780,2010,3,16,3,67.0,-9,-4.0,1024.0,cv,2.67,0,0
1782,2010,3,16,5,50.0,-10,-7.0,1023.0,cv,0.89,0,0
1783,2010,3,16,6,55.0,-10,-7.0,1023.0,cv,1.78,0,0
1817,2010,3,17,16,24.0,-18,7.0,1025.0,cv,1.79,0,0
1818,2010,3,17,17,23.0,-17,7.0,1025.0,cv,2.68,0,0
1820,2010,3,17,19,39.0,-12,3.0,1025.0,cv,0.89,0,0
1822,2010,3,17,21,67.0,-11,1.0,1026.0,cv,0.45,0,0
1829,2010,3,18,4,86.0,-5,-2.0,1025.0,cv,0.89,0,0
1830,2010,3,18,5,83.0,-4,-2.0,1025.0,cv,1.78,0,0
1831,2010,3,18,6,80.0,-4,-1.0,1025.0,cv,2.67,0,0
1832,2010,3,18,7,90.0,-4,-1.0,1024.0,cv,3.56,0,0
1836,2010,3,18,11,166.0,-3,1.0,1022.0,cv,0.89,0,0
1839,2010,3,18,14,227.0,-2,4.0,1018.0,cv,0.89,0,0
1845,2010,3,18,20,209.0,-3,2.0,1014.0,cv,0.89,0,0
1848,2010,3,18,23,239.0,-2,2.0,1011.0,cv,0.89,0,0
1849,2010,3,19,0,241.0,-1,2.0,1011.0,cv,1.78,0,0
1850,2010,3,19,1,249.0,-1,3.0,1009.0,cv,2.67,0,0
1851,2010,3,19,2,248.0,0,3.0,1008.0,cv,3.56,0,0
1853,2010,3,19,4,228.0,2,3.0,1006.0,cv,0.89,0,2
1860,2010,3,19,11,249.0,3,4.0,1002.0,cv,0.89,0,0
1862,2010,3,19,13,250.0,3,5.0,1001.0,cv,0.89,0,0
1863,2010,3,19,14,232.0,2,7.0,1001.0,cv,1.78,0,0
1865,2010,3,19,16,239.0,2,7.0,1001.0,cv,0.89,0,0
1866,2010,3,19,17,234.0,2,7.0,1001.0,cv,1.78,0,0
1867,2010,3,19,18,240.0,2,7.0,1001.0,cv,2.67,0,0
1871,2010,3,19,22,180.0,2,4.0,1002.0,cv,0.89,0,0
1873,2010,3,20,0,183.0,3,4.0,1002.0,cv,0.89,0,0
1898,2010,3,21,1,55.0,-5,3.0,1017.0,cv,0.89,0,0
1899,2010,3,21,2,46.0,-5,2.0,1018.0,cv,1.78,0,0
1903,2010,3,21,6,51.0,-5,1.0,1017.0,cv,0.89,0,0
1904,2010,3,21,7,41.0,-5,0.0,1017.0,cv,1.78,0,0
1910,2010,3,21,13,49.0,-14,13.0,1012.0,cv,3.13,0,0
1920,2010,3,21,23,83.0,-5,7.0,1012.0,cv,3.13,0,0
1924,2010,3,22,3,90.0,-3,5.0,1011.0,cv,0.89,0,0
1925,2010,3,22,4,100.0,-4,5.0,1010.0,cv,1.78,0,0
1929,2010,3,22,8,112.0,-2,5.0,1012.0,cv,0.89,0,0
1949,2010,3,23,4,25.0,-8,2.0,1022.0,cv,0.89,0,0
1952,2010,3,23,7,60.0,-7,1.0,1023.0,cv,0.89,0,0
2006,2010,3,25,13,18.0,-20,6.0,1027.0,cv,1.79,0,0
2012,2010,3,25,19,27.0,-12,6.0,1022.0,cv,0.89,0,0
